execution_id,model,dataset,batch_size,test_batch_size,epochs,att_heads,optimizer,learning_rate,momentum,num_points,dropout,emb_dims,k,loss,validation_acc,validation_avg_acc
execution_0006,DGCNN,ModelNet40,32,16,60,8,SGD,0.0125,1024,0.5,0.9,1024,20,1.4389835829853623,0.937703141928494,0.9057430476548349
execution_0007,DGCNN,ModelNet40,32,16,60,8,SGD,0.025,1024,0.5,0.9,1024,20,1.467395859963199,0.9274106175514626,0.899484049094702
execution_0008,DGCNN,ModelNet40,32,16,60,4,SGD,0.0125,1024,0.5,0.9,1024,20,1.4452951702239842,0.9333694474539544,0.9058166197747959
execution_0009,DGCNN,ModelNet40,32,16,60,4,SGD,0.025,1024,0.5,0.9,1024,20,1.459508460882813,0.9349945828819068,0.9059103522284863
execution_0010,DGCNN,ModelNet40,32,16,60,8,SGD,0.0125,1024,0.5,0.9,1024,5,1.5212623012672912,0.909534127843987,0.863040829732706
execution_0012,DGCNN,ModelNet40,32,16,60,8,SGD,0.0125,1024,0.5,0.9,1024,25,1.4307921823933478,0.9409534127843987,0.9097946923924918
execution_0013,DGCNN,ModelNet40,32,16,60,8,SGD,0.0125,1024,0.5,0.9,1024,20,1.45634317979265,0.9328277356446371,0.9042403452918386
execution_0014,DGCNN,ModelNet40,32,16,60,8,SGD,0.0125,1024,0.1,0.9,1024,20,1.4553955869581692,0.9328277356446371,0.9019492626644556
execution_0015,DGCNN,ModelNet40,32,16,60,8,SGD,0.0125,1024,0.3,0.9,1024,20,1.4352409905498749,0.937703141928494,0.9090148538348121
execution_0016,DGCNN,ModelNet40,32,16,60,8,SGD,0.0125,1024,0.5,0.9,1024,20,1.6124195096810487,0.8938244853737811,0.8729322880646805
execution_0017,DGCNN,ModelNet40,32,16,60,8,SGD,0.0125,1024,0.5,0.9,1024,20,1.447509474898986,0.9398699891657638,0.9111635644689876
execution_0019,DGCNN,ModelNet40,32,16,100,8,SGD,0.0125,1024,0.5,0.9,1024,20,1.5454699904017175,0.899783315276273,0.8875074364595287
execution_0020,DGCNN,ModelNet40,32,16,100,8,SGD,0.0125,1024,0.5,0.9,1024,20,1.431267240452999,0.9355362946912242,0.9085608257689192
execution_0021,DGCNN,ModelNet40,16,16,60,8,SGD,0.0125,1024,0.5,0.9,1024,20,1.4488566089683854,0.9317443120260022,0.9010163993031867
execution_0022,DGCNN,ModelNet40,16,16,100,8,SGD,0.0125,1024,0.5,0.9,1024,20,1.4362370164526115,0.9371614301191766,0.911895231967296
