execution_id,model,dataset,batch_size,test_batch_size,epochs,att_heads,optimizer,learning_rate,momentum,num_points,dropout,emb_dims,k,loss,validation_acc,validation_avg_acc
execution_0001,PointNet,ModelNet40,32,16,300,8,ADAM,1e-05,1024,0.5,0.9,1024,20,1.576845647454391,0.890032502708559,0.8195133482669711
execution_0002,PointNet,ModelNet40,32,16,300,8,ADAM,0.0001,1024,0.5,0.9,1024,20,1.5100944521367743,0.9079089924160346,0.8608586504580344
execution_0003,PointNet,ModelNet40,32,16,300,8,ADAM,0.001,1024,0.5,0.9,1024,20,1.575500511012382,0.8986998916576381,0.8483584070388733
execution_0004,PointNet,ModelNet40,32,16,300,4,ADAM,1e-05,1024,0.5,0.9,1024,20,1.5686874788734793,0.8921993499458288,0.830127487076302
execution_0005,PointNet,ModelNet40,32,16,300,4,ADAM,0.0001,1024,0.5,0.9,1024,20,1.5238641221500038,0.9117009750812568,0.870054500424202
execution_0006,PointNet,ModelNet40,32,16,300,4,ADAM,0.001,1024,0.5,0.9,1024,20,1.602066819226109,0.8873239436619719,0.8360662111012627
execution_0007,PointNet,ModelNet40,32,16,200,8,ADAM,0.0001,1024,0.1,0.9,1024,20,1.5489833456981736,0.9019501625135428,0.8495941892248233
execution_0008,PointNet,ModelNet40,32,16,200,8,ADAM,0.0001,1024,0.3,0.9,1024,20,1.552483226470286,0.8965330444203684,0.8492993974944045
execution_0010,PointNet,ModelNet40,32,16,300,8,ADAM,0.0001,1024,0.5,0.9,1024,20,1.6305040429756934,0.8770314192849404,0.8481556589809927
execution_0011,PointNet,ModelNet40,32,16,300,8,ADAM,0.0001,1024,0.5,0.9,1024,20,1.6525434577193834,0.8689057421451788,0.8412119349964794
execution_0012,PointNet,ModelNet40,32,16,300,8,ADAM,0.0001,1024,0.5,0.9,1024,20,1.5250342886729462,0.9068255687973997,0.8624047953498643
execution_0013,PointNet,ModelNet40,32,16,120,8,ADAM,0.0001,1024,0.5,0.9,1024,20,1.5476913432775314,0.8970747562296858,0.8423327959415026
